Name,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,Senses,Languages,Additional
Beholder,18,180,30,10,14,18,17,15,17,"STR, CON, WIS",None,Darkvision 120,"Infernal, telepathy 120","Devil's Sight,  Magic Resistance, Steadfast"
Death Kiss,16,161,fly 30,18,14,18,10,12,10,"CON, WIS",Perception,Darkvision 120,"Deep Speech, Undercommon",Lightning Blood
Death Tyrant,19,187,"50, 40 climb",10,14,14,19,15,19,None,"Perception, Stealth",Darkvision 90,Draconic,None
Gauth,15,67,fly 20,10,14,16,15,15,13,"INT, WIS, CHA",Perception,Darkvision 120,"Deep Speech, Undercommon","Stunning Gaze, Death Throes"
Gazer,13,13,fly 30,3,17,14,3,10,7,WIS,"Perception, Stealth",Darkvision 60,None,"Aggressive, Mimicry"
Spectator,14,39,20 fly,8,14,14,13,14,11,"INT, WIS, CHA",Perception,Darkvision 120,"Deep Speech, Undercommon","Antimagic Cone, Lair, Legendary"
Berbalang,14,38,"30, fly 40",9,16,9,17,11,10,None,"Arcana, History, Insight, Perception, Religion",Truesight 120,All,"Spectral Duplicate, Innate Spellcasting"
Black Earth Guard,18,39,30,17,11,14,10,10,9,None,"Intimidation, Perception",Normal,Common,None
Black Earth Priest,17,45,30,15,11,14,12,10,16,None,"Intimidation, Religion, Persuasion",Normal,"Common, Terran",Normal Spellcasting
Burrowshark,18,82,30,18,12,16,10,11,13,None,"Animal Handling, Athletics, Intimidation, Perception",Normal,Common,Bond of the Black Earth
Sacred Stone Monk,14,22,40,13,15,12,10,14,9,None,"Acrobatics, Athletics, Perception",Tremorsense 10,Common,"Unarmored Defense, Unarmored Movement"
Stonemelder,17,75,30,15,10,16,12,11,17,None,"Intimidation, Perception",Tremorsense 30,"Common, Terran","Death Burst, Normal Spellcasting"
Needle,12,11,30,12,12,13,4,8,3,None,None,Blindsight 60,Common,None
Tree,15,149,30,23,10,20,6,10,3,None,None,Blindsight 60,"Common, Druidic","False, Siege"
Twig,13,4,"20, ",6,13,12,4,8,3,None,Stealth,Blindsight 60,Common,False Appearance
Vine,12,26,30,15,8,14,5,10,3,None,None,Blindsight 60,Common,False Appearance
Bodak,15,58,30,15,16,15,7,12,12,None,"Perception, Stealth",Darkvision 120,"Abyssal, Any","Aura of Annihilation, Death Gazer, Sunlight Hypersensitivity"
Boggle,14,18,"30, climb 30",8,18,13,6,12,7,None,"Perception, Sleight of Hand, Stealth",Darkvision 60,Sylvan,"Boggle Oil, Dimensional Rift, Uncanny Smell"
Boneclaw,16,127,40,19,16,15,13,15,9,"DEX, CON, WIS","Perception, Stealth",Darkvision 60,"Common, Any","Rejuvenation, Shadow Stealth"
Bugbear,16,27,30,15,14,13,8,11,9,None,"Stealth, Survival",Darkvision 60,"Common, Goblin","Brute, Surprise Attack"
Bugbear Chief,17,65,30,17,14,14,11,12,11,None,"Intimidation, Stealth, Survival",Darkvision 60,"Common, Goblin","Brute, Hearth of Hruggek, Surprise Attack"
Bulette,17,94,"40, 40 burrow",19,11,21,2,10,5,None,Perception,"Darkvision 60, tremorsense 60",None,Standing Leap
Bullywug,15,11,"20, swim 40",12,12,13,7,10,7,None,Stealth,Normal,Own,"Amphibious, Speak with Frogs, Speak with Toads, Swamp Camouflage, Standing Leap"
Cadaver Collector,17,189,30,21,14,20,5,11,8,None,None,Darkvision 60,All,"Magic Resistance, Summon Specters"
Cambion,19,82,"30, fly 60",18,18,16,14,12,16,"STR, CON, INT, CHA","Deception, Intimidation, Perception, Stealth",Darkvision 60,"Abyssal, Common, Infernal","Fiendish Blessing, Innate Spellcasting"
Carrion Crawler,13,51,"30, 30 climb",14,13,16,1,12,5,None,Perception,Darkvision 60,None,"Keen Smell, Spider Climb"
Catoblepas,14,84,30,19,12,21,3,4,8,None,None,Darkvision 60,None,"Keen Smell, Stench"
Cave Fisher,16,58,"20, climb 20",16,13,14,3,10,3,None,"Perception, Stealth",Blindsight 60,None,"Adhesive Filament, Flammable Blood, Spider Climb"
Centaur,12,45,50,18,14,14,9,13,11,None,"Athletics, Perception, Survival",Normal,"Elvish, Sylvan",Charge
Centaur Mummy,13,85,30,20,12,16,5,14,12,WIS,None,Darkvision 60,"Common, Sylvan",Charge
Chimera,14,114,"30, fly 60",19,11,19,3,14,10,None,Perception,Darkvision 60,Draconic,None
Chitine,14,18,"30, climb 30",10,14,12,10,10,7,None,"Athletics, Stealth",Darkvision 60,Undercommon,"Fey Ancestry, Sunlight Sensitivity, Web Sense,  Web Walker"
Choldrith,15,66,"30, climb 30",12,16,12,11,14,10,None,"Athletics, Religion, Stealth",Darkvision 60,Undercommon,"Fey Ancestry, Normal Spellcasting, Spider Climb, Sunlight Sensitivity, Web Sense, Web Walker"
Choker,16,13,30,16,14,13,4,12,7,None,Stealth,Darkvision 60,Deep Speech,"Aberrant Quickness, Boneless, Spider Climb"
Chuul,16,93,"30, 30 swim",19,10,16,5,11,5,None,Perception,Darkvision 60,Deep Speech,"Amphibious, Sense Magic"
Chwinga,15,5,"20, climb 20, swim 20",1,20,10,14,16,16,None,"Acrobatics, Perception, Stealth",Blindsight 60,None,"Evasion, Innate Spellcasting"
Cloaker,14,78,"10, fly 40",17,15,12,13,12,14,None,Stealth,Darkvision 60,"Deep Speech, Undercommon","Damage Transfer, False Appearance, Light Sensitivity"
Bronze Scout,13,18,"30, burrow 30",10,16,11,3,14,1,None,"Perception, Stealth",Darkvision 60,Creator,"Earth Armor, Magic Resistance"
Iron Cobra,13,45,30,12,16,14,3,10,1,None,Stealth,Darkvision 60,Creator,Magic Resistance
Oaken Bolter,16,58,30,12,18,15,3,10,1,None,None,Darkvision 60,Creator,Magic Resistance
Stone Defender,16,52,30,19,10,17,3,10,1,None,None,Darkvision 60,Creator,"False Appearance, Magic Resistance"
Cockatrice,11,27,"20, fly 40",6,12,12,2,13,5,None,None,Darkvision 60,None,None
Corpse Flower,12,127,"20, climb 20",14,14,16,7,15,3,None,None,Blindsight 120,None,"Corpses, Spider Climb, Stench of Death"
Couatl,19,97,"30, 90 fly",16,20,17,18,20,18,"CON, WIS, CHA",None,Truesight 120,"All, telepathy 120","Innate Spellcasting, Magic Weapons, Shielded Mind"
Crag Cat,13,34,40,16,17,16,4,14,8,None,"Perception, Stealth",Darkvision 60,None,"Nondetection, Pounce, Spell Turning"
Cranium Rat,12,2,30,2,14,10,4,11,8,None,None,"Darkvision 30, tremorsense 60",Telepathy 30,"Illumination, Telepathic Shroud"
Swarm of Cranium Rats,12,36,30,9,14,10,15,11,14,None,None,"Darkvision 30, tremorsense 60",Telepathy 30,"Illumination, Innate Spellcasting, Swarm, Telepathic Shroud"
Crawling Claw,12,2,"20, climb 20",13,14,11,5,10,4,None,None,Blindsight 30,Common,Turn Immunity
Crushing Wave Priest,13,52,30,15,11,14,10,11,16,None,"Deception, Religion, Stealth",Normal,"Aquan, COmmon",Normal Spellcasting
Crushing Wave Reaver,14,22,30,15,14,13,10,11,8,None,"Athletics, Stealth",Normal,Common,None
Dark Tide Knight,13,58,30,17,16,14,10,11,11,None,"Athletics, Stealth",Normal,Common,Bonded Mount
Fathomer,10,52,30,14,11,14,11,11,15,None,"Arcana, Perception, Stealth",Normal,"Aquan, Common","Shapechanger, Olhydra's Armor, Normal Spellcasting"
One-Eyed Shiver,12,49,30,10,14,12,13,13,17,None,"Arcana, Perception, Intimidation",Normal,Common,Chilling Mist
Cyclops,14,138,30,22,11,20,8,6,10,None,None,Normal,Giant,Poor Depth Perception
Darkling,14,13,30,9,16,12,10,12,10,None,"Acrobatics, Deception, Perception, Stealth","Blindsight 30, darkvision 120","Elvish, Sylvan","Death Flash, Light Sensitivity"
Darkling Elder,15,27,30,13,17,12,10,14,13,None,"Acrobatics, Deception, Perception, Stealth","Blindsight 30, darkvision 120","Elvish, Sylvan",Death Burn
Darkmantle,11,22,"10, fly 30",16,12,13,2,10,5,None,Stealth,Blindsight 60,None,"Echolocation,  False Appearance"
Death Knight,20,180,30,20,11,20,12,16,18,"DEX, WIS, CHA",None,Darkvision 120,"Abyssal, Common","Magic Resistance, Marshal Undead, Spellcasting"
Deathlock,12,36,30,11,15,10,14,12,16,"INT, CHA","Arcana, History",Darkvision 60,Any,"Innate Spellcasting, Normal Spellcasting, Turn Resistance"
Deathlock Mastermind,13,110,30,11,16,12,15,12,17,"INT, CHA","Arcana, History, Perception",Darkvision 120,Any,"Innate Spellcasting, Normal Spellcasting, Turn Resistance"
Deathlock Wight,12,37,30,11,14,16,12,14,16,WIS,"Arcana, Perception",Darkvision 60,Any,"Innate Spellcasting, Sunlight Sensitivity"
Decapus,14,75,"15, climb 30",15,14,14,4,10,7,None,"Athletics, Perception, Stealth",Darkvision 60,None,None
Deep Scion,11,67,"30, swim 40",18,13,16,10,12,14,"WIS, CHA","Deception, Insight, Sleight of Hand, Stealth",Darkvision 120,"Aquan, Common, Thieves' Cant","Shapechanger, Amphibious"
Demilich,20,80,fly 30,1,20,10,20,17,20,"CON, INT, WIS, CHA",None,Truesight 120,None,"Avoidance, Legendary Resistance, Turn Immunity, Legendary, Lair"
Baphomet,22,275,40,30,14,26,18,24,16,"DEX, CON, WIS","Intimidation, Perception",Truesight 120,"All, telepathy 120","Charge, Innate Spellcasting, Labyrinthine Recall, Legendary, Magic Resistance, Magic Weapons, Reckless, Lair"
Demogorgon,22,406,"50, swim 50",29,14,26,20,17,25,"DEX, CON, WIS, CHA","Insight, Perception",Truesight 120,"All, telepathy 120","Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Two Heads"
Fraz-Urb'Luu,18,337,"40, fly 40",29,12,25,26,24,26,"DEX, CON, INT, WIS","Deception, Perception, Stealth",Truesight 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Undetectable"
Graz'Zt,20,346,40,22,15,21,23,21,26,"DEX, CON, WIS","Deception, Insight, Perception, Persuasion",Truesight 120,"All, telepathy 120","Shapechanger, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons"
Juiblex,18,350,30,24,10,23,20,20,16,"DEX, CON, WIS",Perception,Truesight 120,"All, telepathy 120","Foul, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Spider Climb"
Orcus,20,405,"40, fly 40",27,14,25,20,20,25,"DEX, CON, WIS","Arcana, Perception",Truesight 120,"All, telepathy 120","Wand of Orcus, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Master of Undeath"
Yeenoghu,20,333,50,29,16,23,15,24,15,"DEX, CON, WIS","Intimidation, Perception",Truesight 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Rampage"
Zuggtmoy,18,304,30,22,15,18,20,19,24,"DEX, CON, WIS",Perception,Truesight 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons"
Abyssal Wretch,11,18,20,9,12,11,5,8,5,None,None,Darkvision 120,Abyssal,None
Alkilith,17,157,40,12,19,22,6,11,7,"DEX, CON",Stealth,Darkvision 120,Abyssal,"Amorphous, False Appearance, Foment Madness, Magic Resistance"
Armanite,16,84,60,21,18,21,8,12,13,None,None,Darkvision 120,"Abyssal, telepathy 120","Magic Resistance, Magic Weapons"
Babau,16,82,40,19,16,16,11,12,13,None,"Perception, Stealth",Darkvision 120,Abyssal,Innate Spellcasting
Balor,19,262,"40, 80 fly",26,15,22,20,16,22,"STR, CON, WIS, CHA",None,Truesight 120,"Abyssal, telepathy 120","Death Throes, Fire Aura, Magic Resistance, Magic Weapons"
Barlgura,15,68,"30, 30 climb",18,15,16,7,14,9,"DEX, CON","Perception, Stealth","Blindsight 30, Darkvision 120","Abyssal, telepathy 120","Innate Spellcasting, Reckless, Running Leap"
Bulezau,14,52,40,15,14,17,8,9,6,None,None,Darkvision 120,"Abyssal, telepathy 60","Rotting Presence, Standing Leap, Sure-Footed"
Chasme,15,84,"20, fly 60",15,15,12,11,14,10,"DEX, WIS",Perception,"Blindsight 10, darkvision 120","Abyssal, telepathy 120","Drone, Magic Resistance, Spider Climb"
Draegloth,15,123,30,20,15,18,13,11,11,None,"Perception, Stealth",Darkvision 120,"Abyssal, Elvish, Undercommon","Fey Ancestry, Innate Spellcasting"
Dretch,11,18,20,11,11,12,5,8,3,None,None,Darkvision 60,"Abyssal, telepathy 60",None
Dybbuk,14,37,40 fly,6,19,16,16,15,14,None,"Deception, Intimidation, Perception",Darkvision 120,"Abyssal, Common, telepathy 120","Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse"
Glabrezu,17,157,40,20,15,21,19,17,16,"STR, CON, WIS, CHA",None,Truesight 120,"Abyssal, telepathy 120","Innate Spellcasting, Magic Resistance"
Goristro,19,310,40,25,11,25,6,13,14,"STR, DEX, CON, WIS",Perception,Darkvision 120,Abyssal,"Charge, Labyrinthine Recall, Magic Resistance, Siege"
Hezrou,16,136,30,19,17,20,5,12,13,"STR, CON, WIS",None,Darkvision 120,"Abyssal, telepathy 120","Magic Resistance, Stench"
Manes,9,9,20,10,9,13,3,8,4,None,None,Darkvision 60,Abyssal,None
Marilith,18,189,40,18,20,20,18,16,20,"STR, CON, WIS, CHA",None,Truesight 120,"Abyssal, telepathy 120","Magic Resistance, Magic Weapons, Reactive"
Maurezhi,15,88,30,14,17,12,11,12,15,None,Deception,Darkvision 120,"Abyssal, Elvish, telepathy 120","Assume Form, Magic Resistance"
Maw,13,33,30,14,8,13,5,8,5,None,None,Darkvision 60,Abyssal,Rampage
Molydeus,19,216,40,28,22,25,21,24,24,"STR, CON, WIS, CHA",Perception,Truesight 120,"Abyssal, telepathy 120","Innate Spellcasting, Legendary, Magic Resistance, Magic Weapons"
Nabassu,18,190,"40, fly 60",22,14,21,14,15,17,"STR, DEX",Perception,Darkvision 60,"Abyssal, telepathy 120","Demonic Shadows, Devour Soul, Magic Resistance, Magic Weapons"
Nalfeshnee,18,184,"20, fly 30",21,10,22,19,12,15,"CON, INT, WIS, CHA",None,Truesight 120,"Abyssal, telepathy 120",Magic Resistance
Quasit,13,7,40,5,17,10,7,10,10,None,Stealth,Darkvision 120,"Abyssal, Common","Shapechanger, Magic Resistance"
Rutterkin,12,37,20,14,15,17,5,12,6,None,None,Darkvision 120,Abyssal,Crippling Fear
Shadow,13,66,"30, fly 30",1,17,12,14,13,14,"DEX, CHA",Stealth,Darkvision 120,"Abyssal, telepathy 120","Incorporeal Movement, Light Sensitivity, Shadow Stealth"
Shoosuva,14,110,40,18,13,17,7,14,9,"DEX, CON, WIS",None,Darkvision 60,"Abyssal, Gnoll, telepathy 120",Rampage
Sibriex,19,150,fly 20,10,3,23,25,24,25,"INT, CHA","Arcana, History, Perception",Truesight 120,"All, telepathy 120","Contamination, Innate Spellcasting, Legendary, Magic Resistance"
"Demon, Vrock",15,104,"40, fly 60",17,15,18,8,13,8,"DEX, WIS, CHA",None,Darkvision 120,"Abyssal, telepathy 120",Magic Resistance
Wastrilith,18,157,"30, swim 80",19,18,21,19,12,14,"STR, CON",None,Darkvision 120,"Abyssal, telepathy 120","Amphibious, Corrupt Water, Magic Resistance, Undertow"
Yochlol,15,136,"30, 30 climb",15,14,18,13,15,15,"DEX, INT, WIS, CHA","Deception, Insight",Darkvision 120,"Abyssal, Elvish, Undercommon","Shapechanger, Magic Resistance, Spider Climb, Innate Spellcasting, Web Walker"
Derro,13,13,30,10,14,12,11,5,9,None,Stealth,Darkvision 120,"Dwarvish, Undercommon","Magic Resistance, Sunlight Sensitivity"
Derro Savant,13,36,30,9,14,12,11,5,14,None,Stealth,Darkvision 120,"Dwarvish, Undercommon","Magic Resistance, Normal Spellcasting, Sunlight Sensitivity"
Black Abishai,15,58,"30, fly 40",14,17,14,13,16,11,"DEX, WIS","Perception, Stealth",Darkvision 120,"Draconic, Infernal, telepathy 120","Devil's Sight, Magic Resistance, Magic Weapons, Shadow Stealth"
Blue Abishai,19,195,"30, fly 50",15,14,17,22,23,18,"INT, WIS",Arcana,Darkvision 120,"Draconic, Infernal, telepathy 120","Devil's Sight, Magic Resistance, Magic Weapons, Normal Spellcasting"
Green Abishai,18,187,"30, fly 40",12,17,16,17,12,19,"INT, CHA","Deception, Insight, Perception, Persuasion",Darkvision 120,"Draconic, Infernal, telepathy 120","Devil's Sight, Innate Spellcasting, Magic Resistance, Magic Weapons"
Red Abishai,22,255,"30, fly 50",23,16,19,14,15,19,"STR, CON, WIS","Intimidation, Perception",Darkvision 120,"Draconic, Infernal, telepathy 120","Devil's SIght, Magic Resistance, Magic Weapons"
White Abishai,15,68,"30, fly 40",16,11,18,11,12,13,"STR, CON",None,Darkvision 120,"Draconic, Infernal, telepathy 120","Devil's Sight, Magic Resistance, Magic Weapons, Reckless"
Amnizu,21,202,"30, fly 40",11,13,16,20,12,18,"DEX, CON, WIS, CHA",Perception,Darkvision 120,"Common, Infernal, telepathy 1000","Devil's Sight, Innate Spellcasting, Magic Resistance"
Bael,18,189,30,24,17,20,21,24,24,"DEX, CON, INT, CHA","Intimidation, Perception, Persuasion",Truesight 120,"All, telepathy 120","Dreadful, Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons, Regeneration, Lair"
Geryon,19,300,"30, fly 50",29,17,22,19,16,23,"DEX, CON, WIS, CHA","Deception, Intimidation, Perception",Truesight 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration"
Hutijin,19,200,"30, fly 60",27,15,25,23,19,25,"DEX, CON, WIS","Intimidation, Perception",Truesight 120,"All, telepathy 120","Infernal Despair, Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Regeneration"
Moloch,19,253,30,26,19,22,21,18,23,"DEX, CON, WIS, CHA","Deception, Intimidation, Perception",Darkvision 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration"
Titivilus,20,127,"40, fly 60",19,22,17,24,22,26,"DEX, CON, WIS, CHA","Deception, Insight, Intimidation, Persuasion",Darkvision 120,"All, telepathy 120","Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Ventriloquism"
Zariel,21,580,"50, fly 150",27,24,28,26,27,30,"INT, WIS, CHA","Intimidation, Perception",Darkvision 120,"All, telepathy 120","Devil's Sight, Fiery Weapons, Innate Spellcasting, Legendary, Lair, Magic Resistance, Regeneration"
"Devil, Barbed",15,110,30,16,17,18,12,14,14,"STR, CON, WIS, CHA","Deception, Insight, Perception",Darkvision 120,"Infernal, telepathy 120","Barbed Hide, Devil's Sight, Magic Resistance"
Bearded Devil,13,52,30,16,15,15,9,11,11,"STR, CON, WIS",None,Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Magic Resistance, Steadfast"
Bone Devil,19,142,"40, 40 fly",18,16,18,13,14,16,"INT, WIS, CHA","Deception, Insight",Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Magic Resistance"
Chain Devil,16,85,30,18,15,18,11,12,14,"CON, WIS, CHA",None,Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Magic Resistance"
"Devil, Erinyes",18,153,"30, fly 60",18,16,18,14,14,18,"DEX, CON, WIS, CHA",None,Truesight 120,"Infernal, telepathy 120","Hellish Weapons, Magic Resistance"
Hellfire Engine,18,216,40,20,16,24,2,10,1,"DEX, WIS, CHA",None,Darkvision 120,Infernal,"Immutable Form, Magic Resistance"
Horned Devil,18,178,"20, fly 60",22,17,21,12,16,17,"STR, DEX, WIS, CHA",None,Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Magic Resistance"
Ice Devil,18,180,40,21,14,18,18,15,18,"DEX, CON, WIS, CHA",None,"Blindsight 60, darkvision 120","Infernal, telepathy 120","Devil's Sight, Magic Resistance"
Imp,13,10,"20, 40 fly",6,17,13,11,12,14,None,"Deception, Insight, Persuasion, Stealth",Darkvision 120,"Infernal, Common","Shapechanger, Devil's Sight, Magic Resistance"
Lemure,7,13,15,10,5,11,1,11,3,None,None,Darkvision 120,Infernal,"Devil's Sight, Hellish Rejuvenation"
Merregon,16,45,30,18,14,17,6,12,8,None,None,Darkvision 60,"Infernal, telepathy 120","Devil's Sight, Magic Resistance"
Narzugon,20,112,30,20,10,17,16,14,19,"DEX, CON, CHA",Perception,Darkvision 120,"Common, Infernal, telepathy 120","Diabolical Sense, Infernal Tack, Magic Resistance"
Nupperibo,13,11,20,16,11,13,3,8,1,None,Perception,Blindsight 10,Infernal,"Cloud of Vermin, Hunger-Driven"
Orthon,17,105,"30, climb 30",22,16,21,15,15,16,"DEX, CON, WIS","Perception, Stealth, Survival","Darkvision 120, truesight 30","Common, INfernal, telepathy 120","Invisibility Field, Magic Resistance"
Pit Fiend,19,300,"30, fly 60",26,14,24,22,18,24,"DEX, CON, WIS",None,Truesight 120,"Infernal, telepathy 120","Fear Aura, Magic Resistance, Magic Weapon, Innate Spellcasting"
Spined Devil,15,22,"20, 40 fly",10,15,12,11,14,8,None,None,Darkvision 120,"Infernal, telepathy 120","Devil's Sight, Flyby, Limited Spines, Magic Resistance"
Devourer,16,178,30,20,12,20,13,10,16,None,None,Darkvision 120,"Abyssal, telepathy 120",None
Allosaurus,13,51,60,19,13,17,2,12,5,None,Perception,Normal,None,Pounce
Ankylosaurus,15,68,30,19,11,15,2,12,5,None,None,Normal,None,None
Brontosaurus,15,121,30,21,9,17,2,10,7,CON,None,Normal,None,None
Deinonychus,13,26,40,15,15,14,4,12,6,None,Perception,Normal,None,Pounce
Dimetrodon,12,19,"30, swim 20",14,10,15,2,10,5,None,Perception,Normal,None,None
Hadrosaurus,11,19,40,15,10,13,2,10,5,None,Perception,Normal,None,None
Plesiosaurus,13,68,"20, swim 40",18,15,16,2,12,5,None,"Perception, Stealth",Normal,None,Hold Breath
Pteranodon,13,13,"10, fly 60",12,15,10,2,9,5,None,Perception,Normal,None,Flyby
Quetzalcoatlus,13,30,"10, fly 80",15,13,13,2,10,5,None,Perception,Normal,None,"Dive Attack, FLyby"
Stegosaurus,13,76,40,20,9,17,2,11,5,None,None,Normal,None,None
Triceratops,13,95,50,22,9,17,2,11,5,None,None,Normal,None,Trampling Charge
Tyrannosaurus Rex,13,136,50,25,10,19,2,12,9,None,Perception,Normal,None,None
Velociraptor,13,10,30,6,14,13,4,12,6,None,Perception,Normal,None,Pack Tactics
Displacer Beast,13,85,40,18,15,16,6,12,8,None,None,Darkvision 60,None,"Avoidance, Displacement"
Doppelganger,14,52,30,11,18,14,11,12,14,None,"Deception, Insight",Darkvision 60,Common,"Shapechanger, Ambusher, Surprise Attack"
Adult Black Dragon,19,195,"40, 80 fly, swim 40",23,14,21,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
Black Ancient Dragon,22,367,"40, 80 fly, swim 40",27,14,25,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth","Blindsight 60, darkvision 120","Common, Draconic","Amphibious, Legendary Resistance, Legendary, Lair"
